Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed
Kittle Corn,0.0,0.0,0.0,0.0,0.0
I'm Sexy and I Know It,0.0,0.0,0.0,0.0,0.0
The Fox,0.0,0.0,0.0,0.0,0.0
The Captain,100.0,97.0,3.0,0.0,0.0
My Team Is Less Bad,0.0,0.0,0.0,0.0,0.0
Cohen The Distance,100.0,3.0,88.0,9.0,0.0
Extraordinary Alien,82.0,0.0,0.0,24.0,57.99999999999999
My Ball Zach Ertz,0.0,0.0,0.0,0.0,0.0
Mixon It Up,86.0,0.0,9.0,60.0,17.0
Team Claude,32.0,0.0,0.0,7.000000000000001,25.0
