Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed
Kittle Corn,40.0,0.0,10.0,10.0,20.0
I'm Sexy and I Know It,60.0,10.0,30.0,20.0,0.0
The Fox,10.0,0.0,10.0,0.0,0.0
The Captain,50.0,10.0,10.0,30.0,0.0
My Team Is Less Bad,0.0,0.0,0.0,0.0,0.0
Cohen The Distance,100.0,70.0,20.0,10.0,0.0
Extraordinary Alien,30.0,0.0,0.0,10.0,20.0
My Ball Zach Ertz,0.0,0.0,0.0,0.0,0.0
Mixon It Up,80.0,10.0,0.0,20.0,50.0
Team Claude,30.0,0.0,20.0,0.0,10.0
