Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed
Kittle Corn,0.0,0.0,0.0,0.0,0.0
I'm Sexy and I Know It,0.0,0.0,0.0,0.0,0.0
The Fox,0.0,0.0,0.0,0.0,0.0
The Captain,100.00000000000001,96.74000000000001,3.26,0.0,0.0
My Team Is Less Bad,0.0,0.0,0.0,0.0,0.0
Cohen The Distance,100.0,3.26,86.26,9.85,0.63
Extraordinary Alien,79.3,0.0,2.19,25.0,52.11
My Ball Zach Ertz,0.0,0.0,0.0,0.0,0.0
Mixon It Up,84.59,0.0,8.290000000000001,57.85,18.45
Team Claude,36.11,0.0,0.0,7.3,28.810000000000002
