Team name,% chance make playoffs,% chance 1 seed,% chance 2 seed,% chance 3 seed,% chance 4 seed,% chance 5 seed,% chance 6 seed
Kittle Corn,99.97499999999998,9.214,33.351,37.413999999999994,14.681,4.369,0.946
I'm Sexy and I Know It,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hand, Foot, and Mouth Disease",99.996,12.221,46.668,31.828,7.5569999999999995,1.503,0.219
The Captain,11.068999999999999,0.0,0.0,0.002,0.197,1.923,8.947
Relatively Mediocre Team,92.109,0.005,0.38999999999999996,2.921,15.129999999999999,34.165,39.498
Mahomes Alone,99.313,0.067,3.7130000000000005,19.232,43.024,22.556,10.721
Extraordinary Alien,99.99999999999999,78.493,15.741,5.097,0.618,0.051000000000000004,0.0
Ka-ma-ra- meha!,94.874,0.0,0.13699999999999998,3.5060000000000002,18.787000000000003,35.15,37.294
Sweep The Leg  Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Fromm State Farm,2.664,0.0,0.0,0.0,0.006,0.28300000000000003,2.375
